to_keep	game	platforms	editor	developer	gender	Source explication	Source nom	Source lien	Autre source	Autre source	type	Multijoueur	Date de sortie	Annoncé en
1	I Am Setsuna† [1]	PS4, PC	Square Enix	Tokyo RPG Factory	Multi	Le joueur incarne plusieurs personnages au long du jeux, même si l'on suit les aventures d'une héroine.	Gameblog	http://www.gameblog.fr/tests/2404-i-am-setsuna-ps4-psv-pc	http://www.jeuxvideo.com/jeux/jeu-429870/#details	https://iamsetsuna.square-enix-games.com/fr/	RPG / combats / narratif / aventure / fantasy	no	18/02/2016	
1	Injustice 2 [1]	TBA	Warner Bros. Interactive Entertainment,	NetherRealm Studios	Multi (choix)	Le joueur a le choix entre plusieurs personnages, féminins ou masculins.	Injustice 2 - All Female Character Super Moves (youtube)	https://www.youtube.com/watch?v=5luApaeYVEo	https://www.youtube.com/watch?v=itO3yvYwCac	http://www.jeuxvideo.com/jeux/jeu-498521/#details	combat / action / narratif	yes	16/05/2017	
0 (2014)	Inside	Xbox One, PC	Inside E3 2016 Release Date Teaser		M	Le joueur incarne un petit garçon.	France Inter	https://www.franceinter.fr/culture/inside-delicieux-cauchemar-de-jeu-video	http://www.gameblog.fr/tests/2527-inside-ps4	https://www.gamekult.com/jeux/inside-3050033180/video-3050745695.html	Plate-Forme / aventure / réflexion	no	29/06/2016	
0 (2015)	Just Cause 3† [1]	PS4, PC, Xbox One		Pre-Order										
1	Just Dance 2017	Xbox One, PS4, Nintendo NX	Ubisoft	Ubisoft	Multi (choix)	Le joueur a le choix entre plusieurs chansons avec des danseurs de différents genres.	Just Dance 2017 - El Tiki (Youtube)	https://www.youtube.com/watch?v=kSSjOnAyF-o	https://www.youtube.com/watch?v=TzXZLxyOjn8	https://www.youtube.com/watch?v=wfEjnQVOb3o	danse / rythme / sport	yes	25/10/2016	
1	Killer Instinct Season 3	Xbox One, W10	Xbox Game Studios	Iron Galaxy Studios	Multi (choix)	Le joueur a le choix entre plusieurs personnages, féminins ou masculins.	Killer Instinct Season 3 - Character Select Animations (Xbox One) (youtube)	https://www.youtube.com/watch?v=h_sPuMw3c7s	https://www.youtube.com/watch?v=1ofW8JrQS-Y	https://www.youtube.com/watch?v=Adz8JEdSdZM	combat	yes	29/03/2016	
1	Killing Floor 2	PC, PS4	Tripwire Interactive	Tripwire Interactive	Multi (choix)	Des personnages masculins et féminins sont disponibles.	TV Tropes	https://tvtropes.org/pmwiki/pmwiki.php/Characters/KillingFloor2	https://www.youtube.com/watch?v=amJ0MBwFpp0	https://www.gamekult.com/jeux/killing-floor-2-3050375871.html	fps /  Post-apocalyptique / Monstres / horreur / survie	yes	18/11/2016	
0 (version remastérisée)	Kingdom Hearts HD 2.8	PS4	Kingdom Hearts 2.8 E3 2016 Trailer	Pre-Order										
1	King of Fighters XIV†	PS4	SNK	SNK	Multi (choix)	Des personnages masculins et féminins sont disponibles.	Deep Silver	https://www.deepsilver.com/en/games/the-king-of-fighters-xiv/	https://www.giantbomb.com/the-king-of-fighters-xiv/3030-50872/characters/	https://www.youtube.com/watch?v=iXYaQDxlv_Y	combat / arts martiaux	yes	23/08/2016	
0 (2015)	The Last Guardian	PS4						https://www.youtube.com/watch?v=zXLZvsSmBIs						
1	Lawbreakers	PC, PS4	Nexon	Boss Key Productions	Multi (choix)	Les joueurs peuvent choisir des personnages masculin ou féminin.	a.list	https://www.alistdaily.com/media/diversity-impacting-lawbreakers-game/	https://www.pcgamer.com/lawbreakers-characters-tips/	https://www.youtube.com/watch?v=Bx1SqLzTwgk	FPS / tir	yes	08/08/2017	
0 (2014)	Let It Die†	PS4						https://www.jeuxactu.com/let-it-die-la-nouvelle-exclusivite-ps4-devoilee-a-l-e3-2014-93560.htm						
1	Legend of Heroes: Trails of Cold Steel 2	PS3, PS Vita	Marvelous Europe	Nihon Falcom	Multi	Le joueur incarne plusieurs personnages tout au long du jeu.	The Legend of Heroes : Trails of Cold Steel 2 All Playable Characters' S Craft Exhibition [JAP DUB] (Youtube)	https://www.youtube.com/watch?v=wdS9JTdWYas	https://www.actugaming.net/test-the-legend-of-heroes-trails-of-cold-steel-ii-suite-directe-reussie-64106/	http://www.gameblog.fr/tests/2613-the-legend-of-heroes-trails-of-cold-steel-ii-ps3-psv	rpg	no	06/09/2016 (US)	
1	The Legend of Zelda: Breath of the Wild	Wii U, Nintendo NX	Nintendo	Nintendo EPD	M	Le joueur incarne Lint	Journal du Geek	https://www.journaldugeek.com/test/test-the-legend-of-zelda-breath-of-the-wild/	http://www.jeuxvideo.com/test/617770/the-legend-of-zelda-breath-of-the-wild-l-aventure-avec-un-grand-a.htm	http://www.jeuxvideo.com/jeux/jeu-77113/	action / aventure / rpg	no	03/03/2017	annoncé lors d'une interview en 2014
1	LEGO Star Wars: The Force Awakens	Windows, Xbox 360, X1, PS3, PS4, Wii U, PS Vita, 3DS	Warner Bros Games	Traveller's Tales	Multi (choix)	Le joueur peut incarner Rey, Finn, Poe, BB-8, Kylo Ren, Han Solo et tous les autres personnages du film.	jeuxvideo.com	http://www.jeuxvideo.com/jeux/jeu-457379/	https://www.actugaming.net/test-lego-star-wars-reveil-de-force-lun-meilleurs-opus-38465/	https://www.lego.com/fr-fr/themes/star-wars/games/star-wars-the-force-awakens-7b2135b29d7f4421b12cbf5155653707	action / aventure / rpg	yes	28/06/2016	
